time,A1,A6,A11,A12,B3,B4,B5,B6,B7,B12,B14,Makerspace,Phone Booth 1,Phone Booth 3
2025-11-14T08:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-14T08:27:00.000Z,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2025-11-14T08:50:00.000Z,0,1,0,0,0,1,1,1,0,0,0,0,0,0
2025-11-14T09:00:00.000Z,1,1,0,0,0,1,1,1,0,0,0,0,0,0
2025-11-14T10:00:00.000Z,1,1,1,0,0,1,1,1,0,0,0,0,1,1
2025-11-14T11:00:00.000Z,1,1,0,0,1,1,1,1,1,1,1,0,1,1
2025-11-14T12:00:00.000Z,1,1,0,0,1,1,1,1,1,1,1,1,0,1
2025-11-14T13:00:00.000Z,1,1,0,0,1,1,1,1,1,1,1,1,1,0
2025-11-14T14:00:00.000Z,1,1,1,1,1,1,1,1,1,1,1,0,1,0
2025-11-14T15:00:00.000Z,0,1,0,1,1,1,1,1,0,1,1,0,1,0
2025-11-14T16:00:00.000Z,0,1,0,1,0,1,1,1,0,1,1,0,0,0
2025-11-14T17:00:00.000Z,0,0,0,1,0,1,0,1,0,1,0,0,0,0
2025-11-14T18:00:00.000Z,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2025-11-14T19:00:00.000Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025-11-14T20:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0
